,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Age,Gender
28,5.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,1.0,5.0,4.0,3.0,20.0,male
29,5.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,19.0,female
30,2.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,2.0,5.0,4.0,3.0,25.0,male
31,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,22.0,female
32,4.0,5.0,3.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,3.0,3.0,5.0,1.0,5.0,20.0,female
33,5.0,3.0,5.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,27.0,female
34,4.0,5.0,4.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,3.0,2.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,1.0,20.0,male
35,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,5.0,4.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,2.0,5.0,19.0,female
36,4.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,18.0,female
37,3.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,2.0,4.0,4.0,1.0,5.0,5.0,3.0,21.0,male
38,3.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,5.0,4.0,3.0,1.0,4.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,1.0,5.0,23.0,female
39,4.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0,5.0,1.0,4.0,1.0,3.0,5.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,5.0,21.0,female
40,2.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,26.0,female
41,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,3.0,20.0,male
42,2.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,19.0,female
43,2.0,4.0,2.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,3.0,5.0,5.0,1.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,5.0,4.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,20.0,female
44,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,25.0,female
45,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,3.0,5.0,2.0,5.0,1.0,4.0,27.0,male
46,4.0,3.0,1.0,2.0,2.0,,4.0,2.0,2.0,1.0,5.0,4.0,5.0,2.0,1.0,5.0,5.0,4.0,5.0,3.0,4.0,1.0,3.0,5.0,1.0,4.0,5.0,,3.0,5.0,5.0,4.0,21.0,female
47,2.0,3.0,1.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,5.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,19.0,female
48,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,20.0,female
49,2.0,2.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,5.0,1.0,5.0,20.0,female
50,3.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,5.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,19.0,female
51,2.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,5.0,5.0,2.0,2.0,3.0,5.0,2.0,4.0,1.0,4.0,19.0,female
52,5.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0,21.0,female
53,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,5.0,5.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,1.0,18.0,female
54,5.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,21.0,female
55,4.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,23.0,female
56,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,20.0,female
57,5.0,5.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,5.0,2.0,3.0,3.0,2.0,1.0,5.0,4.0,5.0,2.0,2.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,21.0,female
58,3.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,4.0,1.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,3.0,3.0,19.0,male
59,4.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,22.0,male
60,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,23.0,male
61,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0,5.0,23.0,male
62,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,23.0,male
63,4.0,2.0,3.0,,2.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,4.0,2.0,5.0,5.0,3.0,22.0,male
64,1.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,5.0,5.0,2.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,18.0,female
65,5.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,17.0,male
66,3.0,2.0,2.0,5.0,5.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,20.0,male
67,2.0,3.0,3.0,4.0,2.0,3.0,1.0,5.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,4.0,24.0,female
68,2.0,2.0,3.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0,5.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,1.0,4.0,18.0,female
69,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,,1.0,3.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,,,5.0,1.0,4.0,20.0,female
70,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,5.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,3.0,1.0,5.0,5.0,2.0,17.0,male
71,5.0,1.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,4.0,1.0,5.0,3.0,5.0,20.0,male
72,3.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,2.0,28.0,female
73,4.0,3.0,4.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,5.0,21.0,male
74,4.0,3.0,5.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,5.0,3.0,2.0,5.0,1.0,5.0,3.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,22.0,male
75,5.0,5.0,4.0,2.0,1.0,5.0,4.0,5.0,4.0,1.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,20.0,male
76,2.0,2.0,5.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,4.0,3.0,18.0,male
77,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,1.0,21.0,female
78,2.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,1.0,5.0,,2.0,3.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,24.0,female
79,4.0,3.0,5.0,2.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,4.0,3.0,5.0,4.0,5.0,21.0,female
80,5.0,4.0,4.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,5.0,5.0,1.0,3.0,4.0,3.0,2.0,5.0,4.0,5.0,19.0,female
81,3.0,2.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,5.0,1.0,2.0,3.0,5.0,2.0,5.0,4.0,2.0,22.0,male
82,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,5.0,18.0,female
83,,2.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,3.0,1.0,1.0,,1.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,22.0,female
84,5.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,,3.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,19.0,female
85,4.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,1.0,22.0,male
86,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,24.0,male
87,5.0,4.0,5.0,,1.0,5.0,2.0,4.0,3.0,2.0,3.0,4.0,5.0,1.0,4.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,5.0,1.0,2.0,5.0,3.0,4.0,5.0,5.0,3.0,18.0,female
88,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,5.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,21.0,female
89,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,22.0,female
90,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,3.0,19.0,female
91,1.0,1.0,1.0,1.0,1.0,,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,4.0,1.0,18.0,female
92,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,19.0,female
93,2.0,3.0,1.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,3.0,24.0,male
94,3.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,21.0,male
95,4.0,4.0,4.0,1.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,21.0,male
96,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,19.0,male
97,3.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,5.0,19.0,male
98,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,22.0,male
99,3.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,4.0,18.0,female
